event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IDN2708,"31 December 2015",2015,1,Demonstrations,Riots,"Violent demonstration","Rioters (Indonesia)","Students (Indonesia); HMI: Muslim Students Association; Muslim Group (Indonesia)",5,,,0,50,,360,"Southeast Asia",Indonesia,"South Sulawesi",Makassar,Rappocini,Makassar,-5.1486,119.432,1,Tribunnews,National,"On 31 December 2015, dozens of students from HMI: Islamic Students Association held a demonstration in Makassar city, South Sulawesi province, demanding Indonesian vice-president step down from the office. They blockaded a road.",0,"crowd size=dozens",1649355997
IDN2709,"31 December 2015",2015,1,"Political violence","Violence against civilians",Attack,"Police Forces of Indonesia (2014-) Mobile Brigade Corps",,1,"Civilians (Indonesia)","Papuan Ethnic Group (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,"West Papua",Sorong,Aimas,Aimas,-0.9703,131.304,2,HumanRightsPapua,Other,"On 31 December 2015, officers from the Brimob ill-treated a Papuan man that was pushing a car to the side of the road with two others causing a traffic jam near Tempat Garam on the way to Suprauw, Sorong regency, Papua province (coded at Aimas, capital of Sorong regency). They then threatened others at gunpoint not to report the incident.",0,,1655818751
IDN2707,"30 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Students (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"Central Java",Demak,Demak,Demak,-6.8909,110.6396,1,Kompas,National,"On 30 December 2015, a group of students held a demonstration in front of Demak court in Demak district, Demak regency, Central Java province, criticizing the performance of the court on handing corruption cases throughout the year. They threw rotten eggs at the building.",0,"crowd size=no report",1649355997
IDN409,"27 December 2015",2015,1,"Political violence",Battles,"Armed clash","TPNPB: West Papua National Liberation Army",,2,"Police Forces of Indonesia (2014-)",,1,12,,360,"Southeast Asia",Indonesia,Papua,Puncak,Sinak,Sinak,-3.8206,137.7832,1,"US State Department; Tempo; AFP",Other-National,"On 27 December 2015, an armed group suspected to be the TPNPB by other sources, attacked a police post in Sinak town, Puncak Jaya district, Papua province, and killed three police personnel. It was also reported that two additional policeman were wounded in the attack. Afterwards, the assailants stole weapons and ammunition during the raid.",3,,1618531826
IDN2706,"25 December 2015",2015,1,"Political violence","Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)",,7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,"East Nusa Tenggara",Kupang,Oebobo,Kupang,-10.1708,123.6069,1,Kompas,National,"On 25 December 2015, a group of Indonesian police beat 20 civilians in Kupang city, East Nusa Tenggara province, accusing them involved in burning of a police station earlier. Four people were severely injured. The civilians were arrested afterward.",0,,1649355997
IDN2705,"25 December 2015",2015,2,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Indonesia)",,3,"Police Forces of Indonesia (2014-)",,1,13,,360,"Southeast Asia",Indonesia,"East Nusa Tenggara",Kupang,Oebobo,Kupang,-10.1708,123.6069,1,Kompas,National,"Around 25 December 2015, a group of people burned down a police station in Kupang city, East Nusa Tenggara province. The reason was unclear.",0,"crowd size=no report",1649355997
IDN2704,"23 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Fishers (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"Central Java",Tegal,"East Tegal",Tegal,-6.8694,109.1402,1,Kompas,National,"On 23 December 2015, around 50 fishers held a peaceful protest in Tegal city, Central Java province, opposing the increased tax for fishers.",0,"crowd size=around 50",1649355997
IDN2703,"22 December 2015",2015,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)",,7,17,,360,"Southeast Asia",Indonesia,"North Kalimantan",Bulungan,"Tanjung Selor","Tanjung Selor",2.8375,117.365,1,Tempo,National,"On 22 December 2015, Indonesian police arrested 31 people involved in a post-election riot in Tanjung Selor district, Bulungan Regency, North Kalimantan province three days before.",0,,1649355997
IDN2702,"21 December 2015",2015,1,"Political violence","Violence against civilians",Attack,"Military Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)","Labor Group (Indonesia); Papuan Ethnic Group (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,"East Kalimantan",Samarinda,"Samarinda Ulu",Samarinda,-0.4999,117.1377,1,HumanRightsPapua,Other,"On 21 December 2015, an employee of PT Tandan Sawita Papua came to demonstrate in front of the company offices in Samarinda city, East Kalimantan province, to demand his Christmas bonus when he was shot dead by army guards. He was reportedly drunk and a risk of violence may have been perceived.",1,,1618531603
IDN2701,"21 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"East Java",Surabaya,Genteng,Surabaya,-7.2492,112.751,1,Tempo,National,"On 21 December 2015, hundreds of online motorbike taxi drivers held a peaceful protest in Surabaya city, East Java province, demanding transparency in the suspension policy from their employer.",0,"crowd size=hundreds",1649355997
