"","X","...1","latitude","longitude","sum_IUU","sum_reported","coords","sum_NIUU","sum_Nreported","total_IUU_catch","total_catch","conflict0nmi","conflict50nmi","conflict100nmi","conflict150nmi","conflict200nmi","fatalities100nmi","ocean_ord","ocean_prd","prodummy1","prodummy2","prodummy3","prodummy4","prodummy5","prodummy6","prodummy7","prodummy8","prodummy9","prodummy10","prodummy11","prodummy12","prodummy13","prodummy14","prodummy15","prodummy16","prodummy17","prodummy18","prodummy19","prodummy20","prodummy21","prodummy22","prodummy23","prodummy24","prodummy25","prodummy26","prodummy27","prodummy28","prodummy29","prodummy30","prodummy31","prodummy32","prodummy33","prodummy34","indcatch000","nidcatch000","catch000"
"1",1,1,-13.5,117.5,8.8786,91.3668,"117.5,-13.5",0,0,8.8786,91.3668,0,0,0,0,0,0,287.04156712963,287.04156712963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0913668,0,0.0913668
"2",2,2,-13.5,118.5,4.7693,49.61916,"118.5,-13.5",0,0,4.7693,49.61916,0,0,0,0,0,0,280.158877314815,280.158877314815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04961916,0,0.04961916
"3",3,3,-13.5,119.5,6.48532,86.62943,"119.5,-13.5",0,0,6.48532,86.62943,0,0,0,0,0,0,264.229694444444,264.229694444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08662943,0,0.08662943
"4",4,4,-13.5,120.5,4.29735,56.6271,"120.5,-13.5",0,0,4.29735,56.6271,0,0,0,0,0,0,259.28024537037,259.28024537037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0566271,0,0.0566271
"5",5,5,-13.5,121.5,151.01912,723.35557,"121.5,-13.5",0,0,151.01912,723.35557,0,0,0,0,0,0,280.327782407407,280.327782407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72335557,0,0.72335557
"6",6,6,-13.5,122.5,234.80373,1207.63564,"122.5,-13.5",0,0,234.80373,1207.63564,0,0,0,0,0,0,274.315905092593,274.315905092593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.20763564,0,1.20763564
"7",7,7,-13.5,123.5,22.42447,132.28351,"123.5,-13.5",0.0011,0.00365,22.42557,132.28716,0,0,0,0,5,0,296.351155092593,296.351155092593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13228351,3.65e-06,0.13228716
"8",8,8,-13.5,124.5,64.91326,280.81773,"124.5,-13.5",0.00569,0.01885,64.91895,280.83658,0,0,0,0,0,0,396.5115625,396.5115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.28081773,1.885e-05,0.28083658
"9",9,9,-13.5,125.5,143.06593,1206.74764,"125.5,-13.5",0.03968,0.13197,143.10561,1206.87961,0,0,0,0,0,0,701.438194444444,701.438194444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.20674764,0.00013197,1.20687961
"10",10,10,-13.5,126.5,189.66321,509.62395,"126.5,-13.5",0.15013,0.49934,189.81334,510.12329,0,0,0,0,0,0,1011.91192528736,1011.91192528736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.50962395,0.00049934,0.51012329
"11",11,11,-12.5,113.5,14.62971,148.62159,"113.5,-12.5",0,0,14.62971,148.62159,0,0,0,0,0,0,305.7366875,305.7366875,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14862159,0,0.14862159
"12",12,12,-12.5,114.5,5.08201,46.75022,"114.5,-12.5",0,0,5.08201,46.75022,0,0,0,0,0,0,312.335881944444,312.335881944444,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04675022,0,0.04675022
