OBJECTID,year,longitude,latitude,conflict,conflict50nmi,conflict100nmi,fatalities100nmi,conflict150nmi,conflict200nmi,ocean_prd,ind_iuu000,nid_iuu000,iuu000,battle_count100nmi,protest_count100nmi,civilian_count100nmi,conflictm712,fatam712,ocp16,ocp1014mean,annual_catch1014,annual_indcatch1014,annual_nidcatch1014,conflict2016,catchdev,indcatchdev,nidcatchdev,indcatch000,nidcatch000,catch000,devgroup1,devgroup2,devgroup3,devgroup4,prodummy1,prodummy2,prodummy3,prodummy4,prodummy5,prodummy6,prodummy7,prodummy8,prodummy9,prodummy10,prodummy11,prodummy12,prodummy13,prodummy14,prodummy15,prodummy16,prodummy17,prodummy18,prodummy19,prodummy20,prodummy21,prodummy22,prodummy23,prodummy24,prodummy25,prodummy26,prodummy27,prodummy28,prodummy29,prodummy30,prodummy31,prodummy32,prodummy33,prodummy34
82,2015,117.469046371,-13.3097562076,0,0,0,0,0,0,272.9464408026801,0.008878599852323532,0,0.008878599852323532,0,0,0,0,0,236.0155487060547,277.2095947265625,0.09359429776668549,0.09358575940132141,8.533998880011495e-6,0,-1.7129427194595337,-1.7461944818496704,-1.6930432319641113,0.09136679768562317,0,0.09136679768562317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,2015,118.466176336,-13.3097562076,0,0,0,0,0,1,268.5053109063043,0.004769300110638142,0,0.004769300110638142,0,0,0,0,0,235.81626892089844,274.6344299316406,0.03781846910715103,0.03781846910715103,0,0,-1.7052929401397705,-1.725494146347046,-1.6930298805236816,0.049619160592556,0,0.049619160592556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2015,119.463306302,-13.3097562076,0,0,0,0,0,1,257.7057732476129,0.006485319696366787,0,0.006485319696366787,0,0,0,0,0,228.4803466796875,268.7274475097656,0.08399198949337006,0.08399198949337006,0,0,-1.692542314529419,-1.6914998292922974,-1.6930298805236816,0.08662942796945572,0,0.08662943542003632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,2015,120.460436267,-13.3097562076,0,0,0,0,0,1,251.5780164930555,0.004297350067645311,0,0.004297350067645311,0,0,0,0,0,227.5945587158203,268.2415466308594,0.10536086559295654,0.10535790026187897,2.9739999263256323e-6,0,-1.706663966178894,-1.7294740676879883,-1.6930302381515503,0.056627098470926285,0,0.056627098470926285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,2015,121.457566233,-13.3097562076,0,0,0,0,0,4,254.1929986741808,0.1510191261768341,0,0.1510191261768341,0,0,0,0,0,234.63845825195312,268.2629089355469,0.7076747417449951,0.7076746821403503,5.3999997362552676e-8,0,-1.817082405090332,-1.9076207876205444,-1.6930981874465942,0.7233555912971497,0,0.7233555912971497,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,2015,122.454696198,-13.3097562076,0,0,0,0,0,5,259.054083082411,0.2348037213087082,0,0.2348037213087082,0,0,0,0,0,244.88494873046875,277.1631774902344,1.1905323266983032,1.1905323266983032,3.599999942593968e-8,0,-1.8388776779174805,-1.8305158615112305,-1.6931664943695068,1.2076356410980225,0,1.207635760307312,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,2015,123.451826163,-13.3097562076,0,0,0,0,0,5,270.0027186075847,0.022424470633268356,9.229999704984948e-5,0.022516770288348198,0,0,0,0,0,255.60467529296875,296.9167175292969,0.17737048864364624,0.17736537754535675,5.110000074637355e-6,0,-1.9107226133346558,-1.866981029510498,-1.6942720413208008,0.1322835087776184,3.6500000533123966e-6,0.1322871595621109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,2015,124.448956129,-13.3097562076,0,0,0,0,0,5,352.1765899658203,0.06491325795650482,7.621999975526705e-5,0.06498947739601135,0,0,0,0,0,350.2159423828125,384.8612060546875,0.25412216782569885,0.25400155782699585,1.2059600703651085e-4,0,-1.9982637166976929,-1.8539117574691772,-1.7713446617126465,0.2808177173137665,1.8849999833037145e-5,0.2808365821838379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,2015,125.446086094,-13.3097562076,0,0,0,0,0,5,577.0310499403212,0.1430659294128418,0.001998450141400099,0.14506438374519348,0,0,0,0,0,620.88897705078125,665.3499755859375,0.5023481845855713,0.5017833709716797,5.647980142384768e-4,0,-1.7316218614578247,-1.4047027826309204,-1.747068166732788,1.2067476511001587,1.319699949817732e-4,1.2068794965744019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,2015,126.443216059,-13.3097562076,0,0,0,0,0,0,1009.574932522244,0.18966321647167206,5.30059973243624e-4,0.1901932656764984,0,0,0,0,0,1030.3590087890625,997.7532958984375,0.6624575257301331,0.6614207625389099,0.0010367239592596889,0,-1.9380979537963867,-1.7853636741638184,-1.91653311252594,0.5096239447593689,4.993400070816278e-4,0.5101233124732971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,2015,113.48052651,-12.3375096425,0,0,0,0,0,0,292.4288228352864,0.014629709534347057,0,0.014629710465669632,0,0,0,0,0,227.03680419921875,294.205322265625,0.19059337675571442,0.19056375324726105,2.96280013571959e-5,0,-1.710845947265625,-1.7399933338165283,-1.6930499076843262,0.1486215889453888,0,0.14862160384655,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2015,114.477656475,-12.3375096425,0,0,0,0,0,5,300.90497504340283,0.0050820098258554935,0,0.0050820098258554935,0,0,0,0,0,228.6885986328125,293.8978271484375,0.08213747292757034,0.08212758600711823,9.890000001178123e-6,0,-1.72258722782135,-1.7721922397613525,-1.693038821220398,0.04675022140145302,0,0.04675022140145302,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,2015,115.47478644,-12.3375096425,0,0,0,0,0,10,296.6904830932617,0.013238689862191677,0,0.013238689862191677,0,0,0,0,0,231.33966064453125,288.208740234375,0.2586929202079773,0.25866732001304626,2.5617997380322777e-5,0,-1.7293810844421387,-1.7926419973373413,-1.6930545568466187,0.14504948258399963,0,0.14504948258399963,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,2015,116.471916406,-12.3375096425,0,0,0,0,0,7,298.8590240478516,0.01334915030747652,0,0.013349149376153946,0,0,0,0,0,243.91311645507812,285.7783508300781,0.25103962421417236,0.25102856755256653,1.106000036088517e-5,0,-1.7377053499221802,-1.8150602579116821,-1.6930491924285889,0.13691458106040955,0,0.13691458106040955,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
135,2015,117.469046371,-12.3375096425,0,0,0,0,0,4,298.4164996676975,0.015221170149743557,0,0.015221170149743557,0,0,0,0,0,252.6793212890625,287.3054504394531,0.23060807585716248,0.23058012127876282,2.7978001526207663e-5,0,-1.7172715663909912,-1.7589101791381836,-1.6930500268936157,0.17523112893104553,0,0.17523112893104553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
136,2015,118.466176336,-12.3375096425,0,0,0,0,1,2,290.0656280517578,0.010230699554085732,0,0.010230700485408306,0,0,0,0,0,245.3287811279297,291.04486083984375,0.12859243154525757,0.12858977913856506,2.6640000214683823e-6,0,-1.699637532234192,-1.7104918956756592,-1.6930330991744995,0.1267053335905075,0,0.1267053335905075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
